scheme,patient_count,run_id,predicate_target_count,predicates_count,prove_ms,verify_ms,proof_size_bytes,cpu_max_pct,rss_max_kb
FHIR,1000,1,5,5,0,0,0,0.3,119888
GROTH16,1000,2,5,5,205,4,720,3.0,120800
STARK,1000,3,5,5,6117,10,245898,2.2,122160
HYBRID,1000,4,5,5,41732,2,2145,0.8,123312
FHIR,1000,5,5,5,0,0,0,0.3,124032
GROTH16,1000,6,5,5,206,4,722,1.5,123376
STARK,1000,7,5,5,6095,10,245898,1.4,125296
HYBRID,1000,8,5,5,43326,2,2145,0.9,125424
FHIR,1000,9,5,5,0,0,0,,44096
GROTH16,1000,10,5,5,201,7,725,1.1,47216
STARK,1000,11,5,5,6068,10,245898,4.1,83536
HYBRID,1000,12,5,5,42339,2,2145,1.4,88944
FHIR,1000,13,5,5,0,0,0,0.2,89680
GROTH16,1000,14,5,5,201,5,720,1.0,89104
STARK,1000,15,5,5,6092,10,245898,2.7,105632
HYBRID,1000,16,5,5,43327,2,2145,0.7,108736
FHIR,1000,17,5,5,0,0,0,0.2,106096
GROTH16,1000,18,5,5,202,5,725,0.9,105472
STARK,1000,19,5,5,6074,10,245898,2.6,111376
HYBRID,1000,20,5,5,42167,2,2145,0.7,112992
FHIR,1000,21,5,5,0,0,0,,114272
GROTH16,1000,22,5,5,202,4,725,1.0,114000
STARK,1000,23,5,5,6128,10,245898,1.6,114960
HYBRID,1000,24,5,5,41872,2,2145,0.9,116736
FHIR,1000,25,5,5,0,0,0,0.2,118112
GROTH16,1000,26,5,5,202,5,726,1.9,119040
STARK,1000,27,5,5,6076,10,245898,2.6,120768
HYBRID,1000,28,5,5,42100,2,2145,1.0,122464
FHIR,1000,29,5,5,0,0,0,,122224
GROTH16,1000,30,5,5,205,5,724,1.6,121584
STARK,1000,31,5,5,6169,10,245898,1.5,122352
HYBRID,1000,32,5,5,42009,2,2145,1.7,123520
FHIR,1000,33,5,5,0,0,0,,125040
GROTH16,1000,34,5,5,201,5,723,1.7,123712
STARK,1000,35,5,5,6126,10,245898,1.8,124656
HYBRID,1000,36,5,5,41908,2,2145,1.1,125696
FHIR,1000,37,5,5,0,0,0,0.2,126720
GROTH16,1000,38,5,5,201,5,722,1.1,125376
STARK,1000,39,5,5,6096,10,245898,2.0,126128
HYBRID,1000,40,5,5,42138,2,2145,0.7,127888
FHIR,1000,41,25,25,0,0,0,,127888
GROTH16,1000,42,25,25,205,5,718,2.2,127552
STARK,1000,43,25,25,6072,10,245898,2.0,129296
HYBRID,1000,44,25,25,42105,2,2145,1.8,131008
FHIR,1000,45,25,25,0,0,0,,130720
GROTH16,1000,46,25,25,202,5,720,3.3,130064
STARK,1000,47,25,25,6071,10,245898,2.9,136656
HYBRID,1000,48,25,25,42140,2,2145,3.1,138336
FHIR,1000,49,25,25,0,0,0,,138672
GROTH16,1000,50,25,25,205,5,726,2.9,137568
STARK,1000,51,25,25,6087,10,245898,4.4,135568
HYBRID,1000,52,25,25,42196,2,2145,2.1,137360
FHIR,1000,53,25,25,0,0,0,0.2,138032
GROTH16,1000,54,25,25,202,4,722,3.7,137024
STARK,1000,55,25,25,6076,10,245898,3.4,137648
HYBRID,1000,56,25,25,42216,2,2145,2.5,139376
FHIR,1000,57,25,25,0,0,0,0.2,133824
GROTH16,1000,58,25,25,220,5,723,3.9,132816
STARK,1000,59,25,25,6084,10,245898,2.0,133648
HYBRID,1000,60,25,25,42690,2,2145,2.1,135344
FHIR,1000,61,25,25,0,0,0,,117664
GROTH16,1000,62,25,25,206,5,723,3.1,117056
STARK,1000,63,25,25,6167,10,245898,2.8,118720
HYBRID,1000,64,25,25,42708,2,2145,3.1,120896
FHIR,1000,65,25,25,0,0,0,,121648
GROTH16,1000,66,25,25,204,6,725,4.8,118096
STARK,1000,67,25,25,6115,10,245898,3.3,120304
HYBRID,1000,68,25,25,42071,2,2145,2.0,122000
FHIR,1000,69,25,25,0,0,0,,123072
GROTH16,1000,70,25,25,203,5,725,4.2,122128
STARK,1000,71,25,25,6100,10,245898,3.4,124896
HYBRID,1000,72,25,25,42105,2,2145,3.1,126592
FHIR,1000,73,25,25,0,0,0,,127296
GROTH16,1000,74,25,25,207,4,725,2.7,126416
STARK,1000,75,25,25,6150,10,245898,2.8,129120
HYBRID,1000,76,25,25,42401,2,2145,1.9,130864
FHIR,1000,77,25,25,0,0,0,,131712
GROTH16,1000,78,25,25,205,4,724,3.7,130976
STARK,1000,79,25,25,6077,10,245898,3.5,140960
HYBRID,1000,80,25,25,42223,2,2145,2.2,138688
FHIR,1000,81,50,50,0,0,0,,139360
GROTH16,1000,82,50,50,206,5,725,4.9,138480
STARK,1000,83,50,50,6088,10,245898,3.3,139024
HYBRID,1000,84,50,50,41966,2,2145,4.5,140704
FHIR,1000,85,50,50,0,0,0,0.2,141376
GROTH16,1000,86,50,50,205,5,725,7.0,140368
STARK,1000,87,50,50,6127,10,245898,5.8,141056
HYBRID,1000,88,50,50,42126,2,2145,5.0,138192
FHIR,1000,89,50,50,0,0,0,0.2,135344
GROTH16,1000,90,50,50,205,5,723,7.2,134352
STARK,1000,91,50,50,6125,10,245898,3.8,135056
HYBRID,1000,92,50,50,42122,2,2145,3.3,136976
FHIR,1000,93,50,50,0,0,0,,130048
GROTH16,1000,94,50,50,206,4,723,4.8,129072
STARK,1000,95,50,50,6082,10,245898,5.0,124896
HYBRID,1000,96,50,50,42070,2,2145,3.2,126592
FHIR,1000,97,50,50,0,0,0,0.2,127280
GROTH16,1000,98,50,50,205,5,723,7.1,126272
STARK,1000,99,50,50,6099,10,245898,5.9,126992
HYBRID,1000,100,50,50,42089,2,2145,5.1,128672
FHIR,1000,101,50,50,0,0,0,,129344
GROTH16,1000,102,50,50,218,5,724,4.8,128352
STARK,1000,103,50,50,6064,10,245898,3.8,129328
HYBRID,1000,104,50,50,42063,2,2145,3.1,131040
FHIR,1000,105,50,50,0,0,0,,131728
GROTH16,1000,106,50,50,203,5,724,7.0,130736
STARK,1000,107,50,50,6089,10,245898,4.3,133040
