scheme,patient_count,run_id,predicate_target_count,predicates_count,prove_ms,verify_ms,proof_size_bytes,cpu_max_pct,rss_max_kb
HYBRID,1000,108,50,50,43268,2,2145,3.4,130080
FHIR,1000,109,50,50,0,0,0,0.2,114224
GROTH16,1000,110,50,50,204,4,724,6.5,113888
STARK,1000,111,50,50,6098,10,245898,5.9,120336
HYBRID,1000,112,50,50,42110,2,2145,4.6,122208
FHIR,1000,113,50,50,0,0,0,0.2,122896
GROTH16,1000,114,50,50,205,5,723,6.9,121904
STARK,1000,115,50,50,6047,10,245898,3.4,122592
HYBRID,1000,116,50,50,42040,2,2145,3.2,124752
FHIR,1000,117,50,50,0,0,0,0.2,125520
GROTH16,1000,118,50,50,206,4,722,6.0,124512
STARK,1000,119,50,50,6049,10,245898,4.0,126944
HYBRID,1000,120,50,50,42005,2,2145,5.2,127648
FHIR,1000,121,100,100,0,0,0,,124016
GROTH16,1000,122,100,100,208,5,720,8.8,123392
STARK,1000,123,100,100,6080,10,245898,9.0,125360
HYBRID,1000,124,100,100,41975,2,2145,5.6,127472
FHIR,1000,125,100,100,0,0,0,,128288
GROTH16,1000,126,100,100,207,5,724,9.2,127888
STARK,1000,127,100,100,6061,10,245898,6.7,131504
HYBRID,1000,128,100,100,41950,2,2145,8.7,131920
FHIR,1000,129,100,100,0,0,0,0.2,132992
GROTH16,1000,130,100,100,208,4,722,12.6,131984
STARK,1000,131,100,100,6077,10,245898,10.3,139712
HYBRID,1000,132,100,100,42304,2,2145,8.9,140800
FHIR,1000,133,100,100,0,0,0,0.1,141904
GROTH16,1000,134,100,100,211,5,723,9.6,140912
STARK,1000,135,100,100,6051,10,245898,7.8,142016
HYBRID,1000,136,100,100,42211,2,2145,8.8,143712
FHIR,1000,137,100,100,0,0,0,,139552
GROTH16,1000,138,100,100,211,5,721,8.8,138560
STARK,1000,139,100,100,6083,10,245898,9.1,139136
HYBRID,1000,140,100,100,42336,2,2145,5.4,140928
FHIR,1000,141,100,100,0,0,0,,141968
GROTH16,1000,142,100,100,208,4,721,12.0,140960
STARK,1000,143,100,100,6078,10,245898,10.1,141408
HYBRID,1000,144,100,100,42438,2,2145,5.7,143152
FHIR,1000,145,100,100,0,0,0,,114624
GROTH16,1000,146,100,100,209,5,726,11.9,114656
STARK,1000,147,100,100,6071,10,245898,6.3,125904
HYBRID,1000,148,100,100,42461,2,2145,8.2,130032
FHIR,1000,149,100,100,0,0,0,,126272
GROTH16,1000,150,100,100,209,4,723,9.2,126480
STARK,1000,151,100,100,6067,10,245898,10.3,127408
HYBRID,1000,152,100,100,42040,2,2145,5.4,129856
FHIR,1000,153,100,100,0,0,0,,130288
GROTH16,1000,154,100,100,209,5,721,8.3,129616
STARK,1000,155,100,100,6049,10,245898,8.4,135856
HYBRID,1000,156,100,100,42206,2,2145,8.8,138048
FHIR,1000,157,100,100,0,0,0,0.1,138752
GROTH16,1000,158,100,100,207,4,724,12.8,138080
STARK,1000,159,100,100,6069,10,245898,6.4,143840
HYBRID,1000,160,100,100,42146,2,2145,8.9,145776
