scheme,patient_count,run_id,predicate_target_count,predicates_count,prove_ms,verify_ms,proof_size_bytes,cpu_max_pct,rss_max_kb
FHIR,500,1,5,5,0,0,0,0.9,133504
GROTH16,500,2,5,5,202,4,724,1.5,132192
STARK,500,3,5,5,6094,10,245898,1.5,139952
HYBRID,500,4,5,5,41936,2,2145,0.8,141856
FHIR,500,5,5,5,0,0,0,0.1,141856
GROTH16,500,6,5,5,203,5,724,1.5,141536
STARK,500,7,5,5,6098,10,245898,2.2,147872
HYBRID,500,8,5,5,41772,2,2145,1.2,145248
FHIR,500,9,5,5,0,0,0,,145440
GROTH16,500,10,5,5,201,5,721,1.2,144096
STARK,500,11,5,5,6210,10,245898,1.6,145984
HYBRID,500,12,5,5,42195,2,2145,1.5,146672
FHIR,500,13,5,5,0,0,0,,141040
GROTH16,500,14,5,5,201,5,723,1.0,140624
STARK,500,15,5,5,6096,10,245898,2.0,146160
HYBRID,500,16,5,5,41924,2,2145,0.7,147232
FHIR,500,17,5,5,0,0,0,,145072
GROTH16,500,18,5,5,202,5,723,1.0,144432
STARK,500,19,5,5,6063,10,245898,1.4,144960
HYBRID,500,20,5,5,41979,2,2145,0.9,145984
FHIR,500,21,5,5,0,0,0,,136704
GROTH16,500,22,5,5,202,5,722,1.1,136032
STARK,500,23,5,5,6052,10,245898,1.4,136736
HYBRID,500,24,5,5,41931,2,2145,1.0,138160
FHIR,500,25,5,5,0,0,0,0.2,137968
GROTH16,500,26,5,5,203,5,723,1.3,136720
STARK,500,27,5,5,6069,10,245898,2.5,137648
HYBRID,500,28,5,5,41998,2,2145,0.7,139360
FHIR,500,29,5,5,0,0,0,0.1,139360
GROTH16,500,30,5,5,199,4,722,1.6,139104
STARK,500,31,5,5,6073,10,245898,2.2,143840
HYBRID,500,32,5,5,41789,2,2145,1.6,142768
FHIR,500,33,5,5,0,0,0,,143152
GROTH16,500,34,5,5,200,5,726,1.9,143008
STARK,500,35,5,5,6188,10,245898,1.5,143600
HYBRID,500,36,5,5,42276,2,2145,0.7,142512
FHIR,500,37,5,5,0,0,0,,122768
GROTH16,500,38,5,5,200,5,721,1.2,122448
STARK,500,39,5,5,6119,10,245898,1.6,123488
HYBRID,500,40,5,5,42123,2,2145,1.4,124640
FHIR,500,41,25,25,0,0,0,0.2,116000
GROTH16,500,42,25,25,205,5,724,4.3,115376
STARK,500,43,25,25,6083,10,245898,2.2,118736
HYBRID,500,44,25,25,42095,2,2145,2.2,120000
FHIR,500,45,25,25,0,0,0,,105392
GROTH16,500,46,25,25,203,4,723,2.6,104752
STARK,500,47,25,25,6077,10,245898,2.8,109360
HYBRID,500,48,25,25,41891,2,2145,3.0,110144
FHIR,500,49,25,25,0,0,0,0.2,109536
GROTH16,500,50,25,25,204,5,724,3.3,108592
STARK,500,51,25,25,6068,10,245898,3.3,123200
HYBRID,500,52,25,25,42084,2,2145,2.1,122224
FHIR,500,53,25,25,0,0,0,0.2,116656
GROTH16,500,54,25,25,201,5,723,4.2,115984
STARK,500,55,25,25,6106,10,245898,2.2,128192
HYBRID,500,56,25,25,41848,2,2145,2.9,129248
FHIR,500,57,25,25,0,0,0,,125840
GROTH16,500,58,25,25,202,4,724,2.7,124544
STARK,500,59,25,25,6061,10,245898,2.6,129360
HYBRID,500,60,25,25,42147,2,2145,3.1,131184
FHIR,500,61,25,25,0,0,0,,130928
GROTH16,500,62,25,25,204,5,724,4.2,130272
STARK,500,63,25,25,6092,10,245898,3.8,130928
HYBRID,500,64,25,25,41917,2,2145,2.2,132176
FHIR,500,65,25,25,0,0,0,0.2,132512
GROTH16,500,66,25,25,203,4,723,4.2,132080
STARK,500,67,25,25,6078,10,245898,3.7,133168
HYBRID,500,68,25,25,41829,2,2145,2.0,134176
FHIR,500,69,25,25,0,0,0,0.2,134528
GROTH16,500,70,25,25,205,4,723,3.3,134064
STARK,500,71,25,25,6086,10,245898,2.9,136192
HYBRID,500,72,25,25,41715,2,2145,3.0,133312
FHIR,500,73,25,25,0,0,0,0.2,130496
GROTH16,500,74,25,25,205,5,724,3.8,129856
STARK,500,75,25,25,6078,10,245898,3.5,130704
HYBRID,500,76,25,25,42040,2,2145,1.9,131872
FHIR,500,77,25,25,0,0,0,,132880
GROTH16,500,78,25,25,205,4,720,3.6,131536
STARK,500,79,25,25,6105,10,245898,2.7,135040
HYBRID,500,80,25,25,41965,2,2145,2.1,135504
FHIR,500,81,50,50,0,0,0,,128192
GROTH16,500,82,50,50,205,5,726,4.3,127584
STARK,500,83,50,50,6098,10,245898,3.9,129904
HYBRID,500,84,50,50,42201,2,2145,5.0,130848
FHIR,500,85,50,50,0,0,0,0.2,126304
GROTH16,500,86,50,50,203,5,722,7.6,125648
STARK,500,87,50,50,6094,10,245898,6.3,126528
HYBRID,500,88,50,50,42002,2,2145,3.5,128704
FHIR,500,89,50,50,0,0,0,,125776
GROTH16,500,90,50,50,206,4,723,7.8,125792
STARK,500,91,50,50,6061,10,245898,4.6,127632
HYBRID,500,92,50,50,42007,2,2145,3.3,129344
FHIR,500,93,50,50,0,0,0,,115040
GROTH16,500,94,50,50,205,5,725,4.9,114384
STARK,500,95,50,50,6128,10,245898,4.4,116768
HYBRID,500,96,50,50,42141,2,2145,3.4,104496
FHIR,500,97,50,50,0,0,0,0.2,92688
GROTH16,500,98,50,50,207,5,725,7.2,92848
STARK,500,99,50,50,6102,10,245898,3.5,96272
HYBRID,500,100,50,50,43619,2,2145,5.3,98064
FHIR,500,101,50,50,0,0,0,,77296
GROTH16,500,102,50,50,287,6,724,4.7,78176
STARK,500,103,50,50,6636,13,245898,4.4,83216
HYBRID,500,104,50,50,43594,2,2145,5.3,82960
FHIR,500,105,50,50,0,0,0,0.2,84112
GROTH16,500,106,50,50,207,4,724,6.9,83168
STARK,500,107,50,50,6108,10,245898,3.5,86544
HYBRID,500,108,50,50,42420,2,2145,4.9,87840
FHIR,500,109,50,50,0,0,0,,88912
GROTH16,500,110,50,50,207,5,723,4.8,87920
STARK,500,111,50,50,6096,10,245898,5.0,97600
HYBRID,500,112,50,50,42465,2,2145,3.4,99456
FHIR,500,113,50,50,0,0,0,,99840
GROTH16,500,114,50,50,206,5,722,4.7,99376
STARK,500,115,50,50,6065,10,245898,3.9,100864
HYBRID,500,116,50,50,42325,2,2145,5.2,102672
FHIR,500,117,50,50,0,0,0,0.2,101584
GROTH16,500,118,50,50,206,5,726,6.7,101344
STARK,500,119,50,50,6089,10,245898,6.1,103088
HYBRID,500,120,50,50,42591,2,2145,4.8,104768
FHIR,500,121,100,100,0,0,0,,105536
GROTH16,500,122,100,100,209,5,722,7.9,104784
STARK,500,123,100,100,6103,10,245898,7.8,106992
HYBRID,500,124,100,100,42340,2,2145,6.0,108832
FHIR,500,125,100,100,0,0,0,,109728
GROTH16,500,126,100,100,207,4,724,11.5,109248
STARK,500,127,100,100,6131,10,245898,10.2,112816
HYBRID,500,128,100,100,42524,2,2145,5.2,113584
FHIR,500,129,100,100,0,0,0,0.2,108032
GROTH16,500,130,100,100,209,5,720,8.2,103696
STARK,500,131,100,100,6101,10,245898,6.8,106544
HYBRID,500,132,100,100,42294,2,2145,5.7,107968
FHIR,500,133,100,100,0,0,0,,106128
GROTH16,500,134,100,100,212,5,721,8.3,105152
STARK,500,135,100,100,6078,10,245898,9.6,107568
HYBRID,500,136,100,100,41668,2,2145,5.7,109488
FHIR,500,137,100,100,0,0,0,0.1,111200
GROTH16,500,138,100,100,210,5,725,8.1,110208
STARK,500,139,100,100,6076,10,245898,6.6,112816
HYBRID,500,140,100,100,41876,2,2145,8.9,115088
FHIR,500,141,100,100,0,0,0,,116128
GROTH16,500,142,100,100,209,4,723,12.7,115136
STARK,500,143,100,100,6066,10,245898,11.2,113872
HYBRID,500,144,100,100,41874,2,2145,6.2,115648
FHIR,500,145,100,100,0,0,0,,115312
GROTH16,500,146,100,100,213,5,720,9.9,115328
STARK,500,147,100,100,6086,10,245898,9.9,118480
HYBRID,500,148,100,100,42039,2,2145,5.6,119536
FHIR,500,149,100,100,0,0,0,,120288
GROTH16,500,150,100,100,208,4,720,12.3,119296
STARK,500,151,100,100,6066,10,245898,10.3,129008
HYBRID,500,152,100,100,41826,2,2145,7.1,130112
FHIR,500,153,100,100,0,0,0,,131184
GROTH16,500,154,100,100,209,4,722,12.5,130192
STARK,500,155,100,100,6065,10,245898,10.5,142384
HYBRID,500,156,100,100,42308,2,2145,11.4,149344
FHIR,500,157,100,100,0,0,0,0.2,142656
GROTH16,500,158,100,100,209,5,723,7.7,142704
STARK,500,159,100,100,6081,10,245898,6.3,143856
HYBRID,500,160,100,100,42167,2,2145,5.7,145712
