scheme,patient_count,run_id,predicate_target_count,predicates_count,prove_ms,verify_ms,proof_size_bytes,cpu_max_pct,rss_max_kb
FHIR,50,1,5,5,0,0,0,0.3,115056
GROTH16,50,2,5,5,207,4,720,3.5,114816
STARK,50,3,5,5,6103,10,245898,2.3,116560
HYBRID,50,4,5,5,42024,2,2145,0.9,119088
FHIR,50,5,5,5,0,0,0,,116400
GROTH16,50,6,5,5,202,5,724,1.7,116032
STARK,50,7,5,5,6088,10,245898,1.8,118112
HYBRID,50,8,5,5,41999,2,2145,1.0,119984
FHIR,50,9,5,5,0,0,0,,120336
GROTH16,50,10,5,5,201,5,724,1.6,119664
STARK,50,11,5,5,6092,10,245898,1.7,127088
HYBRID,50,12,5,5,41932,2,2145,1.0,128512
FHIR,50,13,5,5,0,0,0,0.2,129184
GROTH16,50,14,5,5,202,5,724,1.5,128544
STARK,50,15,5,5,6067,10,245898,2.7,130672
HYBRID,50,16,5,5,41926,2,2145,1.3,126640
FHIR,50,17,5,5,0,0,0,,125200
GROTH16,50,18,5,5,202,5,723,1.0,124544
STARK,50,19,5,5,6103,10,245898,1.6,125728
HYBRID,50,20,5,5,42169,2,2145,1.2,122816
FHIR,50,21,5,5,0,0,0,,122176
GROTH16,50,22,5,5,201,5,718,1.0,121504
STARK,50,23,5,5,6069,10,245898,2.0,122896
HYBRID,50,24,5,5,42127,2,2145,1.3,124272
FHIR,50,25,5,5,0,0,0,0.2,124352
GROTH16,50,26,5,5,202,5,725,1.2,123680
STARK,50,27,5,5,6100,10,245898,2.5,125168
HYBRID,50,28,5,5,42210,2,2145,0.8,118032
FHIR,50,29,5,5,0,0,0,,103888
GROTH16,50,30,5,5,202,5,723,1.2,104512
STARK,50,31,5,5,6094,10,245898,2.5,107744
HYBRID,50,32,5,5,42369,2,2145,1.4,107248
FHIR,50,33,5,5,0,0,0,0.2,94144
GROTH16,50,34,5,5,202,6,721,1.6,93504
STARK,50,35,5,5,6069,10,245898,2.1,103184
HYBRID,50,36,5,5,41832,2,2145,0.9,104608
FHIR,50,37,5,5,0,0,0,0.2,105952
GROTH16,50,38,5,5,203,5,721,1.6,105328
STARK,50,39,5,5,6105,10,245898,2.4,115392
HYBRID,50,40,5,5,42156,2,2145,1.0,114240
FHIR,50,41,25,25,0,0,0,0.1,113936
GROTH16,50,42,25,25,205,5,724,3.6,113312
STARK,50,43,25,25,6066,10,245898,3.6,116352
HYBRID,50,44,25,25,41861,2,2145,1.9,118112
FHIR,50,45,25,25,0,0,0,0.2,114080
GROTH16,50,46,25,25,204,5,722,4.2,113440
STARK,50,47,25,25,6091,10,245898,3.9,128800
HYBRID,50,48,25,25,43213,2,2145,2.1,129312
FHIR,50,49,25,25,0,0,0,0.4,50784
GROTH16,50,50,25,25,203,6,723,3.8,52896
STARK,50,51,25,25,6097,10,245898,4.8,79904
HYBRID,50,52,25,25,41868,2,2145,2.2,83168
FHIR,50,53,25,25,0,0,0,,82704
GROTH16,50,54,25,25,206,5,724,2.5,82208
STARK,50,55,25,25,6100,10,245898,2.9,97424
HYBRID,50,56,25,25,42049,2,2145,2.8,100576
FHIR,50,57,25,25,0,0,0,,101504
GROTH16,50,58,25,25,203,5,721,3.3,101696
STARK,50,59,25,25,6105,10,245898,3.1,112048
HYBRID,50,60,25,25,42507,2,2145,3.3,112656
FHIR,50,61,25,25,0,0,0,,111920
GROTH16,50,62,25,25,204,5,721,2.4,111360
STARK,50,63,25,25,6048,10,245898,2.4,112112
HYBRID,50,64,25,25,42165,2,2145,1.9,113984
FHIR,50,65,25,25,0,0,0,,115120
GROTH16,50,66,25,25,200,5,724,3.9,114144
STARK,50,67,25,25,6100,10,245898,2.1,115920
HYBRID,50,68,25,25,42133,2,2145,2.8,117792
FHIR,50,69,25,25,0,0,0,0.2,114224
GROTH16,50,70,25,25,203,5,723,3.8,114288
STARK,50,71,25,25,6084,10,245898,3.3,123120
HYBRID,50,72,25,25,41942,2,2145,1.9,121136
FHIR,50,73,25,25,0,0,0,0.2,121504
GROTH16,50,74,25,25,205,4,722,3.6,120848
STARK,50,75,25,25,6075,10,245898,2.8,122896
HYBRID,50,76,25,25,42090,2,2145,2.1,122912
FHIR,50,77,25,25,0,0,0,,123712
GROTH16,50,78,25,25,202,5,721,4.0,123056
STARK,50,79,25,25,6112,10,245898,3.4,125184
HYBRID,50,80,25,25,42339,2,2145,3.0,125584
FHIR,50,81,50,50,0,0,0,0.2,101584
GROTH16,50,82,50,50,205,5,721,5.8,101600
STARK,50,83,50,50,6142,10,245898,6.0,106304
HYBRID,50,84,50,50,42716,2,2145,5.1,106720
FHIR,50,85,50,50,0,0,0,0.3,104576
GROTH16,50,86,50,50,204,5,725,7.3,104608
STARK,50,87,50,50,6059,10,245898,6.6,119536
HYBRID,50,88,50,50,41964,2,2145,3.6,121728
FHIR,50,89,50,50,0,0,0,,120368
GROTH16,50,90,50,50,205,4,726,4.3,119776
STARK,50,91,50,50,6077,10,245898,3.3,121152
