scheme,patient_count,run_id,predicate_target_count,predicates_count,prove_ms,verify_ms,proof_size_bytes,cpu_max_pct,rss_max_kb
HYBRID,50,92,50,50,42511,2,2145,2.8,122832
FHIR,50,93,50,50,0,0,0,,111552
GROTH16,50,94,50,50,212,5,722,5.3,111632
STARK,50,95,50,50,6051,10,245898,3.7,113072
HYBRID,50,96,50,50,42039,2,2145,4.4,114768
FHIR,50,97,50,50,0,0,0,,115120
GROTH16,50,98,50,50,204,5,723,4.4,114448
STARK,50,99,50,50,6065,10,245898,3.6,115920
HYBRID,50,100,50,50,42025,2,2145,3.3,117888
FHIR,50,101,50,50,0,0,0,0.2,118176
GROTH16,50,102,50,50,204,5,721,6.9,117536
STARK,50,103,50,50,6097,10,245898,5.7,119168
HYBRID,50,104,50,50,41949,2,2145,3.2,120272
FHIR,50,105,50,50,0,0,0,0.1,120704
GROTH16,50,106,50,50,207,5,724,7.8,116064
STARK,50,107,50,50,6062,10,245898,3.8,118832
HYBRID,50,108,50,50,42883,2,2145,3.9,120528
FHIR,50,109,50,50,0,0,0,,109648
GROTH16,50,110,50,50,205,5,725,6.1,109120
STARK,50,111,50,50,6115,10,245898,7.1,112736
HYBRID,50,112,50,50,42276,2,2145,4.9,98992
FHIR,50,113,50,50,0,0,0,,91504
GROTH16,50,114,50,50,204,4,724,5.0,91264
STARK,50,115,50,50,6080,10,245898,4.4,101456
HYBRID,50,116,50,50,42072,2,2145,5.2,98768
FHIR,50,117,50,50,0,0,0,0.2,98896
GROTH16,50,118,50,50,206,5,723,6.4,99984
STARK,50,119,50,50,6136,10,245898,5.3,102688
HYBRID,50,120,50,50,42365,2,2145,4.7,104352
FHIR,50,121,100,100,0,0,0,,103808
GROTH16,50,122,100,100,210,4,722,10.5,103184
STARK,50,123,100,100,6112,10,245898,10.0,104816
HYBRID,50,124,100,100,42337,2,2145,9.0,106304
FHIR,50,125,100,100,0,0,0,,76048
GROTH16,50,126,100,100,207,6,722,9.0,78048
STARK,50,127,100,100,6070,10,245898,10.3,101680
HYBRID,50,128,100,100,42019,2,2145,5.8,104400
FHIR,50,129,100,100,0,0,0,,104784
GROTH16,50,130,100,100,210,5,725,12.2,104544
STARK,50,131,100,100,6079,10,245898,10.3,107440
HYBRID,50,132,100,100,42127,2,2145,6.1,109760
FHIR,50,133,100,100,0,0,0,0.1,98800
GROTH16,50,134,100,100,214,5,722,8.0,97936
STARK,50,135,100,100,6147,10,245898,6.7,100784
HYBRID,50,136,100,100,41975,2,2145,7.3,100720
FHIR,50,137,100,100,0,0,0,,99904
GROTH16,50,138,100,100,213,4,722,7.9,99904
STARK,50,139,100,100,6078,10,245898,7.8,102464
HYBRID,50,140,100,100,42185,2,2145,5.7,103904
FHIR,50,141,100,100,0,0,0,,101024
GROTH16,50,142,100,100,208,5,725,8.7,99712
STARK,50,143,100,100,6229,10,245898,6.9,111024
HYBRID,50,144,100,100,42273,2,2145,5.5,107424
FHIR,50,145,100,100,0,0,0,,102880
GROTH16,50,146,100,100,209,5,723,7.7,102256
STARK,50,147,100,100,6100,10,245898,9.9,104864
HYBRID,50,148,100,100,42576,2,2145,5.8,80320
FHIR,50,149,100,100,0,0,0,0.1,72448
GROTH16,50,150,100,100,208,6,725,8.0,73888
STARK,50,151,100,100,6103,10,245898,7.2,105856
HYBRID,50,152,100,100,42287,2,2145,5.4,96992
FHIR,50,153,100,100,0,0,0,,95968
GROTH16,50,154,100,100,208,4,723,8.7,95312
STARK,50,155,100,100,6071,10,245898,9.5,98064
HYBRID,50,156,100,100,42234,2,2145,6.8,103328
FHIR,50,157,100,100,0,0,0,,101392
GROTH16,50,158,100,100,211,4,723,8.4,102272
STARK,50,159,100,100,6102,10,245898,6.8,104112
HYBRID,50,160,100,100,41933,2,2145,5.5,106208
