scheme,patient_count,run_id,predicate_target_count,predicates_count,prove_ms,verify_ms,proof_size_bytes,cpu_max_pct,rss_max_kb
FHIR,10,1,5,5,0,0,0,1.1,108624
GROTH16,10,2,5,5,204,5,722,1.5,108624
STARK,10,3,5,5,6090,10,245898,1.6,112336
HYBRID,10,4,5,5,42074,2,2145,0.8,114224
FHIR,10,5,5,5,0,0,0,,98704
GROTH16,10,6,5,5,204,5,720,1.0,98400
STARK,10,7,5,5,6048,10,245898,1.7,109536
HYBRID,10,8,5,5,42040,2,2145,1.1,111952
FHIR,10,9,5,5,0,0,0,,109168
GROTH16,10,10,5,5,205,4,723,1.2,109184
STARK,10,11,5,5,6080,10,245898,2.6,110992
HYBRID,10,12,5,5,42083,2,2145,1.3,113392
FHIR,10,13,5,5,0,0,0,,107120
GROTH16,10,14,5,5,200,5,723,1.5,106624
STARK,10,15,5,5,6075,10,245898,3.3,110848
HYBRID,10,16,5,5,41950,2,2145,1.5,111008
FHIR,10,17,5,5,0,0,0,,112640
GROTH16,10,18,5,5,203,5,723,1.1,112256
STARK,10,19,5,5,6092,10,245898,2.5,114560
HYBRID,10,20,5,5,42007,2,2145,1.3,116016
FHIR,10,21,5,5,0,0,0,0.1,94256
GROTH16,10,22,5,5,202,5,720,1.5,93760
STARK,10,23,5,5,6167,10,245898,1.6,96976
HYBRID,10,24,5,5,41823,2,2145,1.8,102032
FHIR,10,25,5,5,0,0,0,0.2,92048
GROTH16,10,26,5,5,204,5,722,1.3,91488
STARK,10,27,5,5,6100,10,245898,2.3,95344
HYBRID,10,28,5,5,42180,2,2145,0.7,95376
FHIR,10,29,5,5,0,0,0,0.2,92624
GROTH16,10,30,5,5,201,5,721,1.2,91952
STARK,10,31,5,5,6308,10,245898,2.1,94512
HYBRID,10,32,5,5,42101,2,2145,1.1,92992
FHIR,10,33,5,5,0,0,0,0.1,88064
GROTH16,10,34,5,5,202,5,721,1.1,87456
STARK,10,35,5,5,6089,10,245898,2.2,91328
HYBRID,10,36,5,5,42264,2,2145,0.8,92848
FHIR,10,37,5,5,0,0,0,,90704
GROTH16,10,38,5,5,201,4,723,0.9,90720
STARK,10,39,5,5,6085,10,245898,1.5,100560
HYBRID,10,40,5,5,42387,2,2145,1.2,103552
FHIR,10,41,25,25,0,0,0,0.2,99248
GROTH16,10,42,25,25,201,5,724,4.0,98608
STARK,10,43,25,25,6099,10,245898,4.0,101392
HYBRID,10,44,25,25,42109,2,2145,2.9,101808
FHIR,10,45,25,25,0,0,0,0.2,93936
