scheme,patient_count,run_id,predicate_target_count,predicates_count,prove_ms,verify_ms,proof_size_bytes,cpu_max_pct,rss_max_kb
GROTH16,10,46,25,25,200,4,723,3.8,93456
STARK,10,47,25,25,6075,10,245898,3.5,96016
HYBRID,10,48,25,25,42094,2,2145,1.9,98192
FHIR,10,49,25,25,0,0,0,,99696
GROTH16,10,50,25,25,200,4,723,3.7,100624
STARK,10,51,25,25,6097,10,245898,2.5,103936
HYBRID,10,52,25,25,41988,2,2145,3.6,105408
FHIR,10,53,25,25,0,0,0,,104512
GROTH16,10,54,25,25,202,5,723,2.5,103888
STARK,10,55,25,25,6094,10,245898,2.2,107312
HYBRID,10,56,25,25,42358,2,2145,1.9,108080
FHIR,10,57,25,25,0,0,0,,101808
GROTH16,10,58,25,25,201,5,721,2.4,101920
STARK,10,59,25,25,6083,10,245898,2.2,112912
HYBRID,10,60,25,25,42186,2,2145,3.1,114800
FHIR,10,61,25,25,0,0,0,,102640
GROTH16,10,62,25,25,201,5,723,2.5,102656
STARK,10,63,25,25,6123,10,245898,3.7,119984
HYBRID,10,64,25,25,41891,2,2145,1.7,121600
FHIR,10,65,25,25,0,0,0,,120000
GROTH16,10,66,25,25,206,5,725,2.9,119360
STARK,10,67,25,25,6080,10,245898,2.8,126608
HYBRID,10,68,25,25,42447,2,2145,1.8,128528
FHIR,10,69,25,25,0,0,0,0.1,123456
GROTH16,10,70,25,25,201,5,722,4.3,122896
STARK,10,71,25,25,6063,10,245898,2.2,123760
HYBRID,10,72,25,25,42849,2,2145,2.1,125744
FHIR,10,73,25,25,0,0,0,,121232
GROTH16,10,74,25,25,203,5,725,3.7,121232
STARK,10,75,25,25,6097,10,245898,2.9,127792
HYBRID,10,76,25,25,41993,2,2145,2.2,130000
FHIR,10,77,25,25,0,0,0,,130368
GROTH16,10,78,25,25,203,5,724,3.1,129696
STARK,10,79,25,25,6074,10,245898,2.7,135488
HYBRID,10,80,25,25,42014,2,2145,1.8,137296
FHIR,10,81,50,50,0,0,0,,137632
GROTH16,10,82,50,50,204,5,722,4.9,137008
STARK,10,83,50,50,6110,10,245898,3.9,138240
HYBRID,10,84,50,50,41877,2,2145,3.3,139952
FHIR,10,85,50,50,0,0,0,0.2,126544
GROTH16,10,86,50,50,207,5,724,6.9,126560
STARK,10,87,50,50,6102,10,245898,5.8,131664
HYBRID,10,88,50,50,42059,2,2145,3.6,133376
FHIR,10,89,50,50,0,0,0,,133216
GROTH16,10,90,50,50,204,5,722,4.2,132240
STARK,10,91,50,50,6069,10,245898,4.8,133472
HYBRID,10,92,50,50,42015,2,2145,2.7,135184
FHIR,10,93,50,50,0,0,0,,111984
GROTH16,10,94,50,50,206,4,724,5.9,111120
STARK,10,95,50,50,6063,10,245898,5.4,120624
HYBRID,10,96,50,50,42266,2,2145,3.0,122320
FHIR,10,97,50,50,0,0,0,0.2,115472
GROTH16,10,98,50,50,204,4,721,6.3,114976
STARK,10,99,50,50,6136,10,245898,5.4,116448
HYBRID,10,100,50,50,42933,2,2145,5.5,122304
FHIR,10,101,50,50,0,0,0,0.2,122800
GROTH16,10,102,50,50,204,5,724,7.6,122848
STARK,10,103,50,50,6068,10,245898,5.7,124336
HYBRID,10,104,50,50,42256,2,2145,3.2,126096
FHIR,10,105,50,50,0,0,0,0.2,108192
GROTH16,10,106,50,50,204,4,725,7.1,107280
STARK,10,107,50,50,6073,10,245898,5.6,110128
HYBRID,10,108,50,50,42666,2,2145,3.3,111008
FHIR,10,109,50,50,0,0,0,,67168
GROTH16,10,110,50,50,204,6,723,4.9,71072
STARK,10,111,50,50,6077,10,245898,4.9,96848
HYBRID,10,112,50,50,41717,2,2145,5.7,99536
FHIR,10,113,50,50,0,0,0,,100624
GROTH16,10,114,50,50,205,5,720,7.6,99888
STARK,10,115,50,50,6101,10,245898,3.7,103792
HYBRID,10,116,50,50,41608,2,2145,5.2,105616
FHIR,10,117,50,50,0,0,0,0.2,102928
GROTH16,10,118,50,50,205,5,722,6.9,102000
STARK,10,119,50,50,6094,10,245898,6.0,112336
HYBRID,10,120,50,50,42682,2,2145,4.8,114176
FHIR,10,121,100,100,0,0,0,,106336
GROTH16,10,122,100,100,208,4,722,12.7,105824
STARK,10,123,100,100,6063,10,245898,10.2,108352
HYBRID,10,124,100,100,41751,2,2145,7.0,110224
FHIR,10,125,100,100,0,0,0,,111232
GROTH16,10,126,100,100,206,4,725,11.6,122096
STARK,10,127,100,100,6158,11,245898,10.1,125648
HYBRID,10,128,100,100,41604,2,2145,5.4,126416
FHIR,10,129,100,100,0,0,0,,127600
GROTH16,10,130,100,100,207,4,719,9.0,126816
STARK,10,131,100,100,6062,10,245898,8.0,136352
HYBRID,10,132,100,100,42509,2,2145,5.5,138048
FHIR,10,133,100,100,0,0,0,0.1,139040
GROTH16,10,134,100,100,208,5,721,12.7,138064
STARK,10,135,100,100,6081,10,245898,6.3,139344
HYBRID,10,136,100,100,42188,2,2145,5.5,141040
FHIR,10,137,100,100,0,0,0,,141744
GROTH16,10,138,100,100,208,5,723,9.8,140768
STARK,10,139,100,100,6086,10,245898,9.8,142160
HYBRID,10,140,100,100,41886,2,2145,5.6,139664
FHIR,10,141,100,100,0,0,0,0.1,139664
GROTH16,10,142,100,100,213,5,720,12.7,139664
STARK,10,143,100,100,6057,10,245898,6.3,147312
HYBRID,10,144,100,100,41876,2,2145,8.9,149040
FHIR,10,145,100,100,0,0,0,0.2,148288
GROTH16,10,146,100,100,209,5,724,8.0,147616
STARK,10,147,100,100,6058,10,245898,6.7,148544
HYBRID,10,148,100,100,41951,2,2145,8.8,150288
FHIR,10,149,100,100,0,0,0,,149680
GROTH16,10,150,100,100,209,4,724,12.4,149024
STARK,10,151,100,100,6097,10,245898,10.4,152688
HYBRID,10,152,100,100,41730,2,2145,8.8,147392
FHIR,10,153,100,100,0,0,0,,144576
GROTH16,10,154,100,100,208,5,725,11.6,145136
STARK,10,155,100,100,6067,10,245898,10.1,146048
HYBRID,10,156,100,100,41893,2,2145,5.7,147744
FHIR,10,157,100,100,0,0,0,0.1,135104
GROTH16,10,158,100,100,208,4,723,12.7,134128
STARK,10,159,100,100,6063,10,245898,6.6,136896
HYBRID,10,160,100,100,42290,2,2145,8.8,137648
